1789851600,85851,30,0,1,0,0.00,11.65
1789851601,45127,39,0,1,0,0.00,13.13
1789851602,63402,74,0,1,0,0.00,16.00
1789851603,46677,36,0,1,0,0.00,5.21
1789851604,44953,94,0,1,0,0.00,17.35
1789851605,54228,86,0,1,0,0.00,19.00
1789851606,47504,86,0,1,0,0.00,18.37
1789851607,46779,121,0,1,0,0.00,25.49
1789851608,46196,130,0,1,0,0.00,22.11
1789851609,61824,91,0,1,0,0.00,17.35
1789851610,46452,102,0,1,0,0.00,25.71
1789851611,110079,94,0,1,0,0.00,24.76
1789851612,46707,80,0,1,0,0.00,17.00
1789851613,73335,78,0,1,0,0.00,17.82
1789851614,43962,80,0,1,0,0.00,21.70
1789851615,45590,60,0,1,0,0.00,8.51
1789851616,43218,64,0,1,0,0.00,15.15
1789851617,71846,74,0,2,0,0.00,13.54
1789851618,62473,77,0,1,0,0.00,18.63
1789851619,58101,62,0,1,0,0.00,10.42
1789851620,74729,53,0,1,0,0.00,14.56
1789851621,82356,64,1,2,0,0.00,15.15
1789851622,58984,70,0,1,0,0.00,12.50
1789851623,120612,63,0,1,0,0.00,13.13
1789851624,45239,49,1,2,0,0.00,12.75
1789851625,45867,64,0,1,0,0.00,11.22
1789851626,45495,62,0,1,0,0.00,8.60
1789851627,46123,62,0,1,0,0.00,14.71
1789851628,59750,39,0,0,0,0.39,8.08
1789851629,47378,51,0,1,0,0.00,13.13
1789851630,71006,49,0,1,0,0.00,11.11
1789851631,45633,51,0,1,0,0.00,15.38
1789851632,46261,49,0,1,0,0.00,11.00
1789851633,80889,47,1,2,0,0.39,6.32
1789851634,44517,60,0,1,0,0.00,14.85
1789851635,45144,51,0,1,0,0.00,13.86
1789851636,206772,58,0,1,0,0.00,10.42
1789851637,55400,45,1,2,0,0.00,9.18
1789851638,47027,54,0,1,0,0.00,11.22
1789851639,49655,48,1,2,0,0.00,9.18
1789851640,66283,47,0,1,0,0.00,7.29
1789851641,57911,49,0,1,0,0.00,11.00
1789851642,45538,48,0,1,0,0.00,13.00
1789851643,46166,50,0,1,0,0.00,11.00
1789851644,64794,56,0,1,0,0.00,8.42
1789851645,62421,57,0,1,0,0.00,8.42
1789851646,63049,63,0,1,0,0.00,15.84
1789851647,60677,48,1,2,0,0.00,12.00
1789851648,58305,51,0,1,0,0.00,10.20
1789851649,44932,42,1,2,0,0.00,9.28
1789851650,62560,56,1,2,0,0.00,11.22
1789851651,43188,39,0,1,0,0.00,9.00
1789851652,78816,39,1,2,0,0.00,6.25
1789851653,45443,55,0,1,0,0.00,12.12
1789851654,45071,46,0,1,0,0.00,8.42
1789851655,89699,42,0,2,0,0.00,5.32
1789851656,42326,53,0,2,0,0.00,12.75
1789851657,45954,43,0,1,0,0.00,10.00
1789851658,46582,43,0,1,0,0.00,6.25
1789851659,47209,60,0,1,0,0.00,11.22
1789851660,44837,55,1,2,0,0.00,11.34
1789851661,46465,51,0,1,0,0.00,11.11
1789851662,42093,41,0,1,0,0.00,11.76
1789851663,63720,13,0,0,0,0.00,1.03
1789851664,94348,38,0,1,0,0.39,8.16
1789851665,45976,52,1,2,0,0.00,13.13
1789851666,42603,46,0,1,0,0.00,8.33
1789851667,44231,86,0,1,0,0.00,16.33
1789851668,45859,70,1,2,0,0.00,10.53
1789851669,45487,49,1,1,0,0.00,7.37
1789851670,45114,44,0,1,0,0.00,8.16
1789851671,45742,43,0,1,0,0.00,11.11
1789851672,47412,85,1,3,0,0.00,16.16
1789851673,45496,61,0,1,0,0.00,13.40
1789851674,47579,49,0,1,0,0.00,12.24
1789851675,46662,55,2,3,0,0.00,11.11
1789851676,45745,45,0,1,0,0.00,13.59
1789851677,41829,53,0,1,0,0.00,7.45
1789851678,65912,42,2,3,0,0.00,10.10
1789851679,41995,52,0,1,0,0.00,8.33
1789851680,49078,36,0,1,0,0.00,5.26
1789851681,45161,42,0,1,0,0.00,11.00
1789851682,46245,48,0,1,0,0.00,7.45
1789851683,44328,62,0,1,0,0.00,16.50
1789851684,62411,52,0,1,0,0.00,7.45
1789851685,45494,37,0,1,0,0.00,7.22
1789851686,46578,54,0,1,0,0.00,11.22
1789851687,44661,42,0,1,0,0.00,11.88
1789851688,45744,46,0,2,0,0.00,11.88
1789851689,49827,44,0,1,0,0.00,8.16
1789851690,46910,55,0,1,0,0.00,8.42
1789851691,46994,46,0,1,0,0.00,4.26
1789851692,47077,33,0,1,0,0.00,5.21
1789851693,60160,43,1,2,0,0.00,12.00
1789851694,60243,40,0,0,0,0.00,7.14
1789851695,50326,28,0,2,0,0.00,4.21
1789851696,47410,36,0,2,0,0.00,7.14
1789851697,47493,50,0,1,0,0.00,10.10
1789851698,64576,39,1,3,0,0.00,9.18
1789851699,66659,37,1,1,0,0.00,12.50
1789851700,105742,40,0,1,0,0.00,11.88
1789851701,62826,30,0,1,0,0.00,6.19
1789851702,44909,44,0,1,0,0.00,7.29
1789851703,69992,54,0,1,0,0.00,11.34
1789851704,46075,58,0,1,0,0.00,10.31
1789851705,45159,32,0,1,0,0.00,6.12
1789851706,64242,48,0,1,0,0.00,10.20
1789851707,74325,32,0,1,0,0.00,8.08
1789851708,45408,51,0,1,0,0.00,11.11
1789851709,70491,42,0,1,0,0.00,7.22
1789851710,63575,35,1,2,0,0.00,9.00
1789851711,62658,30,0,1,0,0.00,8.08
1789851712,50741,46,0,1,0,0.00,2.20
1789851713,51824,53,0,1,0,0.00,10.20
1789851714,46908,38,0,1,0,0.00,10.00
1789851715,44991,45,0,1,0,0.00,7.29
1789851716,44074,38,0,1,0,0.00,9.00
1789851717,49157,40,0,1,0,0.00,10.10
1789851718,44240,34,0,1,0,0.00,8.91
1789851719,60324,52,1,2,0,0.00,13.13
1789851720,44407,48,0,1,0,0.00,6.32
1789851721,44490,38,0,1,0,0.00,6.19
1789851722,42573,34,0,1,0,0.00,6.19
1789851723,51656,18,0,1,0,0.00,2.06
1789851724,46740,60,1,2,0,0.00,14.85
1789851725,43823,43,0,1,0,0.00,7.22
1789851726,61906,64,1,2,0,0.00,11.34
1789851727,56989,65,0,0,0,0.00,13.13
1789851728,66072,51,2,4,0,0.00,7.45
1789851729,66156,44,1,1,0,0.00,8.16
1789851730,45239,45,0,1,0,0.00,6.38
1789851731,48322,43,0,1,0,0.00,10.00
1789851732,47405,51,0,1,0,0.00,8.42
1789851733,60489,35,0,1,0,0.00,9.80
1789851734,60572,29,1,2,0,0.00,8.91
1789851735,41655,42,0,0,0,0.00,4.26
1789851736,45738,40,1,2,0,0.00,5.26
1789851737,161258,40,0,1,0,0.00,10.10
1789851738,46168,34,0,1,0,0.00,10.00
1789851739,48076,35,0,1,0,0.00,7.07
1789851740,46984,44,0,1,0,0.00,5.32
1789851741,46893,33,0,1,0,0.00,7.07
1789851742,45801,47,1,2,0,0.00,12.00
1789851743,46709,49,1,2,0,0.00,10.20
1789851744,46618,42,1,2,0,0.00,13.59
1789851745,45526,36,0,1,0,0.00,10.78
1789851746,59434,38,0,1,0,0.00,8.08
1789851747,47342,53,0,1,0,0.00,11.88
1789851748,78250,44,0,1,0,0.00,8.25
1789851749,47159,53,0,1,0,0.00,11.22
1789851750,48067,50,1,1,0,0.00,11.88
1789851751,54975,39,0,1,0,0.00,15.38
1789851752,45884,49,0,1,0,0.00,11.88
1789851753,46792,46,0,1,0,0.00,7.22
1789851754,43700,51,0,1,0,0.00,4.40
1789851755,64608,42,0,1,0,0.00,8.16
1789851756,61517,23,0,1,0,0.00,10.68
1789851757,57425,44,1,1,0,0.00,9.09
1789851758,44334,29,0,0,0,0.00,5.10
1789851759,42242,54,0,2,0,0.00,14.00
1789851760,44150,33,0,1,0,0.00,7.07
1789851761,43059,39,0,1,0,0.00,6.32
1789851762,44967,44,0,1,0,0.00,6.25
1789851763,64875,41,0,1,0,0.00,9.00
1789851764,44783,28,0,1,0,0.00,6.12
1789851765,47692,41,0,1,0,0.00,9.09
1789851766,46600,43,0,1,0,0.00,10.89
1789851767,45508,37,0,1,0,0.00,6.32
1789851768,45417,32,0,1,0,0.00,4.17
1789851769,46325,48,0,1,0,0.00,9.18
1789851770,70233,27,0,1,0,0.39,6.06
1789851771,45141,41,0,0,0,0.00,6.19
1789851772,44050,50,0,2,0,0.00,16.19
1789851773,44958,32,0,0,0,0.00,10.78
1789851774,46866,29,0,1,0,0.00,6.12
1789851775,52775,29,0,1,0,0.00,5.15
1789851776,45683,52,0,1,0,0.00,11.00
1789851777,61591,34,0,1,0,0.00,7.00
1789851778,44500,47,0,1,0,0.00,11.00
1789851779,46408,39,0,1,0,0.00,7.29
1789851780,45316,43,0,1,0,0.00,11.11
1789851781,43224,44,1,2,0,0.00,9.09
1789851782,45133,38,0,2,0,0.00,11.76
1789851783,60041,20,0,2,0,0.00,8.74
1789851784,45949,46,0,1,0,0.00,11.88
1789851785,46858,30,0,1,0,0.00,4.17
1789851786,45766,47,0,1,0,0.00,11.00
1789851787,59674,71,0,2,0,0.00,16.67
1789851788,48582,51,1,2,0,0.00,15.53
1789851789,89490,36,0,2,0,0.39,7.07
1789851790,45399,51,0,1,0,0.00,12.00
1789851791,43307,49,2,4,0,0.00,12.12
1789851792,41216,32,0,1,0,0.00,4.17
1789851793,44124,27,1,2,0,0.00,10.89
1789851794,46032,37,0,1,0,0.00,5.21
1789851795,63940,31,0,1,0,0.00,8.00
1789851796,61849,41,0,1,0,0.00,5.26
1789851797,72757,36,0,3,0,0.00,10.00
1789851798,69665,28,0,1,0,0.00,7.07
1789851799,50574,38,0,1,0,0.00,9.00
1789851800,45482,48,0,1,0,0.00,10.20
1789851801,45874,31,1,2,0,0.00,6.19
1789851802,45319,26,0,1,0,0.00,10.78
1789851803,41764,36,0,1,0,0.00,9.90
1789851804,45209,46,0,1,0,0.00,8.16
1789851805,46654,41,0,1,0,0.00,12.50
1789851806,45099,35,0,1,0,0.00,9.90
1789851807,47545,46,0,1,0,0.00,6.38
1789851808,54990,37,0,0,0,0.00,6.19
1789851809,45435,35,2,3,0,0.00,9.09
1789851810,44880,37,1,3,0,0.00,7.22
1789851811,43325,38,0,1,0,0.00,9.00
1789851812,68770,31,0,1,0,0.00,3.16
1789851813,45215,38,0,1,0,0.00,3.16
1789851814,46661,44,0,1,0,0.00,12.00
1789851815,55106,32,0,1,0,0.00,7.07
1789851816,44551,35,0,1,0,0.00,9.00
1789851817,45996,41,0,1,0,0.00,11.76
1789851818,60441,22,0,1,0,0.00,6.93
1789851819,49886,49,0,1,0,0.00,5.32
1789851820,45331,35,0,1,0,0.00,6.32
1789851821,44777,36,0,1,0,0.00,11.76
1789851822,65222,44,0,2,0,0.00,5.32
1789851823,46667,46,0,2,0,0.00,12.62
1789851824,47112,28,0,1,0,0.00,4.17
